,year,region,dec,pollutant,int,factor,se,r2,warn
204,2012,TRE,37275,co2,6536.563376,577.7486927,2.641476968,0.98199779,0
205,2012,TRE,44150,so2,299.2481855,0.502300078,0.014277616,0.585560711,0
206,2012,TRE,44150,nox,-9.37300491,0.334119063,0.005527691,0.806603304,0
207,2012,TRE,44150,co2,37282.38442,565.3254025,2.4794717,0.98342826,0
208,2012,TRE,60875,so2,101.845817,0.12995459,0.012572663,0.108704224,0
209,2012,TRE,60875,nox,-55.69243956,0.496849519,0.008859604,0.782143915,0
210,2012,TRE,60875,co2,-18340.78908,529.047119,2.15505242,0.985672718,0
211,2012,WECC,33539,so2,56.98744211,0.212318628,0.007106179,0.504434834,0
212,2012,WECC,33539,nox,-16.16530429,0.444087466,0.008232939,0.768391311,0
213,2012,WECC,33539,co2,21094.75558,555.4342513,2.850631402,0.977421337,0
214,2012,WECC,37763,so2,29.87560416,0.208021414,0.007330329,0.478981168,0
215,2012,WECC,37763,nox,19.37107464,0.411289674,0.008045487,0.748947502,0
216,2012,WECC,37763,co2,12312.48612,534.2653685,2.754057782,0.977252025,0
217,2012,WECC,40721,so2,27.66878631,0.235186552,0.00920715,0.426606625,0
218,2012,WECC,40721,nox,44.65166777,0.45904037,0.008820617,0.755393076,0
219,2012,WECC,40721,co2,24470.3595,543.6945561,2.89967482,0.975661851,0
220,2012,WECC,42897,so2,53.41938359,0.253754654,0.008925132,0.479917646,0
221,2012,WECC,42897,nox,39.54579469,0.481065169,0.008409748,0.788824861,0
222,2012,WECC,42897,co2,30250.55742,546.0508314,2.953224635,0.975017083,0
223,2012,WECC,45090,so2,34.99241867,0.254983447,0.008364981,0.514726529,0
224,2012,WECC,45090,nox,35.46929798,0.472736848,0.00839134,0.783691728,0
225,2012,WECC,45090,co2,17079.55852,537.3841833,2.742259698,0.977697376,0
226,2012,WECC,47410,so2,-3.84819793,0.245012858,0.00893684,0.461513832,0
227,2012,WECC,47410,nox,25.00310476,0.487723426,0.008160934,0.802861035,0
228,2012,WECC,47410,co2,6568.896904,544.8661021,2.594567475,0.980501632,0
229,2012,WECC,50028,so2,-9.231284753,0.212911727,0.008171843,0.436593311,0
230,2012,WECC,50028,nox,5.456434913,0.421175148,0.007939544,0.762605917,0
231,2012,WECC,50028,co2,-5110.397522,519.5449549,2.501053104,0.980103548,0
232,2012,WECC,53229,so2,-32.30588887,0.181542429,0.013027258,0.181292352,0
233,2012,WECC,53229,nox,3.566079218,0.382946009,0.008085742,0.718913088,0
234,2012,WECC,53229,co2,-14285.51204,514.2900961,2.519946996,0.979378668,0
235,2012,WECC,59701,so2,-15.0560765,0.168809075,0.007722714,0.352935394,0
236,2012,WECC,59701,nox,12.17174858,0.335703972,0.007189744,0.713364704,0
237,2012,WECC,59701,co2,-25831.60802,514.7562393,2.099893567,0.985631546,0
238,2012,WECC,84686,so2,-73.52566728,0.100992742,0.007740254,0.162718624,0
239,2012,WECC,84686,nox,-66.17463405,0.284387668,0.006967611,0.655378388,0
240,2012,WECC,84686,co2,-38025.74953,517.6116343,1.973678518,0.987423713,0
241,2013,FRCC,12865,so2,56.71780633,0.335027304,0.010510828,0.537562058,0
