respondent_id,respondent_name,eia_code,nerc
188,Kansas City Power & Light Company                                               ,10000,SPP
189,Kansas Gas & Electric (KG&E) a Westar Energy company                            ,10005,SPP
190,Westar Energy (KPL)                                                             ,10015,SPP
213,Northeast Texas Electric Cooperative                                            ,13670,SPP
220,Oklahoma Gas & Electric Company                                                 ,14063,SPP
221,Oklahoma Municipal Power Authority                                              ,14077,SPP
257,Southwest Power Pool (SPP)                                                      ,17690,SPP
258,Southwestern Power Administration (DOE)                                         ,17716,SPP
259,Southwestern Public Service Company (Xcel)                                      ,17718,SPP
281,City of Springfield                                                             ,17828,SPP
141,"City Utilities of Springfield, MO                                               ",17833,SPP
261,Sunflower Electric Power Corporation                                            ,18315,SPP
277,Western Farmers Electric Cooperative                                            ,20447,SPP
245,Sam Rayburn G&T Electric Coop.                                                  ,40233,SPP
291,Union Power Partners                                                            ,55380,SPP
165,ERCOT                                                                           ,5723,TRE
307,PacifiCorp - Part II Sch 2 (East & West combined)                               ,0,WECC
312,Glacier Wind Balancing Authority                                                ,0,WECC
125,California Independent System Operator                                          ,229,WECC
115,"Arizona Electric Power Cooperative, Inc.                                        ",796,WECC
116,Arizona Public Service Company                                                  ,803,WECC
153,"Duke Energy Control Area Services, LLC (Arlington Valley WECC AZ)               ",973,WECC
122,"Bonneville Power Administration, USDOE                                          ",1738,WECC
135,City of Burbank                                                                 ,2507,WECC
237,PUD No. 1 of Chelan County                                                      ,3413,WECC
143,Colorado Springs Utilities                                                      ,3989,WECC
238,PUD No. 1 of Douglas County                                                     ,5326,WECC
160,El Paso Electric Company                                                        ,5701,WECC
166,Eugene Water & Electric Board                                                   ,6022,WECC
180,Idaho Power Company                                                             ,9191,WECC
182,Imperial Irrigation District                                                    ,9216,WECC
194,Los Angeles Department of Water and Power                                       ,11208,WECC
201,Metropolitan Water District of Southern California                              ,12397,WECC
206,Modesto Irrigation District                                                     ,12745,WECC
217,NorthWestern Energy                                                             ,12825,WECC
210,Nevada Power Company                                                            ,13407,WECC
227,Pacific Gas and Electric Company                                                ,14328,WECC
228,PacifiCorp - East                                                               ,14354,WECC
229,PacifiCorp - West                                                               ,14355,WECC
239,PUD No. 2 of Grant County                                                       ,14624,WECC
231,Platte River Power Authority                                                    ,15143,WECC
232,Portland General Electric Company                                               ,15248,WECC
235,Public Service Company of Colorado                                              ,15466,WECC
236,Public Service Company of New Mexico                                            ,15473,WECC
240,"Puget Sound Energy, Inc.                                                        ",15500,WECC
243,Sacramento Municipal Utility District (& City of Redding Electric Utility)      ,16534,WECC
244,Salt River Project                                                              ,16572,WECC
246,San Diego Gas & Electric Company                                                ,16609,WECC
247,Seattle City Light                                                              ,16868,WECC
249,Sierra Pacific Resources                                                        ,17166,WECC
310,Southern California Edison Company                                              ,17609,WECC
139,"City of Tacoma, Dept. of Public Utilities                                       ",18429,WECC
262,Tampa Electric Company                                                          ,18454,WECC
267,Turlock Irrigation District                                                     ,19281,WECC
121,Black Hills Corporation                                                         ,19545,WECC
274,Western Area Power Administration - Lower Colorado control area  (Desert Southwe,19610,WECC
327,City of Vero Beach                                                              ,19804,WECC
119,Avista Corporation                                                              ,20169,WECC
266,Tucson Electric Power Company                                                   ,24211,WECC
275,Western Area Power Administration - Upper Missouri West (Upper Great Plains Regi,25471,WECC
273,Western Area Power Administration - Colorado-Missouri Control Area (Rocky Mtn Re,28503,WECC
265,"Tri-State G & T Assn., Inc.                                                     ",30151,WECC
154,"Duke Energy Control Area Services, LLC (Gila River Maricopa Arizona)            ",55306,WECC
293,New Harquahala Generating Station                                               ,55372,WECC
324,"NaturEner Wind Watch, LLC                                                       ",57995,WECC
319,Test Company E                                                                  ,0,
323,"Gridforce Energy Management, LLC                                                ",0,SERC
99992,{Test Company B}                                                                ,0,
99994,{Test Company D-edited}                                                         ,0,
99991,{Test Company A}                                                                ,55555,
