SEQPLT16,PSTATABB,PNAME,ORISPL,OPRNAME,OPRCODE,UTLSRVNM,UTLSRVID,BANAME,BACODE,NERC,SUBRGN,SRNAME,ISORTO,FIPSST,FIPSCNTY,CNTYNAME,LAT,LON,PM25 Annual 150m,PM25 Winter 150m,PM25 Spring 150m,PM25 Summer 150m,PM25 Fall 150m,SO2 Annual 150m,SO2 Winter 150m,SO2 Spring 150m,SO2 Summer 150m,SO2 Fall 150m,NOX Annual 150m,NOX Winter 150m,NOX Spring 150m,NOX Summer 150m,NOX Fall 150m,NH3 Annual 150m,NH3 Winter 150m,NH3 Spring 150m,NH3 Summer 150m,NH3 Fall 150m
5858,NC,Onslow Energy,59036,"Duke Energy Carolinas, LLC",5416,Enerdyne Power Systems Inc,58523,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,133,Onslow,34.799167,-77.543056,72343.56201,93687.25707,58846.86702,53967.87653,82612.99405,22462.31927,27875.25879,26070.73563,20338.86759,15327.66658,4819.082601,12247.87611,3947.227327,1048.631376,1858.702874,42473.63058,67941.49614,30889.32691,26377.93294,44429.1267
5859,NC,Onslow Power Producers,58558,"Duke Energy Carolinas, LLC",5416,Enerdyne Power Systems Inc,58523,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,133,Onslow,34.7975,-77.543056,72343.56201,93687.25707,58846.86702,53967.87653,82612.99405,22462.31927,27875.25879,26070.73563,20338.86759,15327.66658,4819.082601,12247.87611,3947.227327,1048.631376,1858.702874,42473.63058,67941.49614,30889.32691,26377.93294,44429.1267
5860,NC,Orbit Energy Charlotte,58638,"Duke Energy Carolinas, LLC",5416,Orbit Energy Charlotte,58589,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,119,Mecklenburg,35.2625,-80.811667,118115.415,135198.2624,102282.6507,108778.4117,126130.334,23821.14189,23541.2214,28517.4658,28496.57587,14564.73042,6396.941999,13346.01913,6050.756731,2406.274568,3556.95259,73169.62747,104534.962,57098.78839,58715.66792,72155.78348
5861,NC,Organ Church Solar,60284,"Duke Energy Carolinas, LLC",5416,Cypress Creek Renewables,61060,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,159,Rowan,35.51126,-80.45686,118115.415,135198.2624,102282.6507,108778.4117,126130.334,23821.14189,23541.2214,28517.4658,28496.57587,14564.73042,6396.941999,13346.01913,6050.756731,2406.274568,3556.95259,73169.62747,104534.962,57098.78839,58715.66792,72155.78348
5862,NC,"Osceola Solar, LLC",60828,"Duke Energy Carolinas, LLC",5416,Cypress Creek Renewables,61060,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,001,Alamance,36.189,-79.532,104306.2826,126351.1344,88858.83144,86225.32965,115723.8066,24073.42781,24757.97311,27828.81553,28081.52848,15427.20047,6509.240259,14777.44659,5693.534771,1853.187346,3537.124437,75027.03364,106886.3944,56380.72992,64917.0887,71796.3182
5863,NC,Ouchchy PV1,59999,"Duke Energy Carolinas, LLC",5416,"Ecoplexus, Inc",58970,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,135,Orange,36.084097,-79.24481,100288.3292,122271.2882,83374.76284,83684.1131,111744.812,23958.50388,24233.51634,28104.28113,28283.31876,15016.07001,6315.500808,14536.33398,5505.68606,1826.180695,3215.947412,71540.62919,102265.4916,56503.22701,60888.85929,66414.09987
5864,NC,Owen Solar,58742,"Duke Energy Carolinas, LLC",5416,Owen Solar LLC,59916,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,035,Catawba,35.586111,-81.315278,99256.02056,115995.1164,85166.79256,85037.50099,110757.5123,23406.05315,23409.95594,26680.88762,29735.08816,13597.16963,5897.973049,12739.15553,5543.724205,2189.988244,2937.584942,67439.25024,91420.45587,52403.10326,57037.70004,68707.58294
5865,NC,Oxford Dam,2729,"Duke Energy Carolinas, LLC",5416,"Duke Energy Carolinas, LLC",5416,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,035,Catawba,35.8214,-81.1922,100753.0822,117800.09,85412.25305,88128.12602,111601.6807,22577.77169,22879.51207,25075.11217,28948.20358,13233.49918,6007.215057,12926.58555,5689.401914,2116.495826,3080.03773,67004.65475,89667.31839,47695.12533,60073.46332,70270.76359
5866,NC,Pamlico Partners Solar,58799,City of Washington - (NC),20142,SunEnergy1,58466,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,013,Beaufort,35.501111,-76.87,74620.08252,91396.32025,65395.8261,62413.21192,79062.89168,26187.92026,29481.38621,32570.74245,25784.02187,16725.74023,5817.802208,13891.79807,5484.415909,1545.005658,2174.290411,47488.34054,71287.05192,39860.93529,33202.91836,45325.74728
5867,NC,Pasquotank,59530,Virginia Electric & Power Co,19876,"Colonial Eagle Solar, LLC",59261,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,139,Pasquotank,36.264722,-76.306111,87561.55052,106300.8247,75763.60954,77288.10048,90736.33069,28891.72906,31653.82576,34947.06491,30288.59287,18469.65066,7492.40042,17362.26979,7399.294535,2255.528606,2802.640658,58939.83749,91543.42595,51722.95404,41453.23905,50817.86138
5868,NC,Pate Farm,58856,Duke Energy Progress - (NC),3046,Pate Farm LLC,58732,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,155,Robeson,34.816667,-79.199444,88106.26648,104952.3498,75963.74306,75739.46163,95584.62449,23909.39222,29541.29086,27765.28653,23054.91564,15121.67639,6159.178993,14663.08899,5305.380759,1653.482031,2755.779486,50275.14771,79894.48556,33654.48798,31612.03706,55527.91554
5869,NC,PCIP Solar,58305,Duke Energy Progress - (NC),3046,Greenbacker Renewable Energy Corporation,60025,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,145,Person,36.3125,-78.9675,87980.45708,112491.2035,69470.29972,69941.42325,99931.45248,24573.86893,24681.82819,28736.16794,29506.52364,15154.61836,6257.518728,15076.41762,5066.269687,1678.707176,3048.678293,68877.39447,97469.84452,52087.93284,63031.46645,62779.62348
5870,NC,PCS Phosphate,50509,Duke Energy Progress - (NC),3046,PCS Phosphate,22175,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,013,Beaufort,35.376266,-76.779864,74620.08252,91396.32025,65395.8261,62413.21192,79062.89168,26187.92026,29481.38621,32570.74245,25784.02187,16725.74023,5817.802208,13891.79807,5484.415909,1545.005658,2174.290411,47488.34054,71287.05192,39860.93529,33202.91836,45325.74728
5871,NC,PCSP3 Airport,58538,"Duke Energy Carolinas, LLC",5416,Carolina Solar Energy II LLC,58508,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,145,Person,36.288056,-78.986111,100288.3292,122271.2882,83374.76284,83684.1131,111744.812,23958.50388,24233.51634,28104.28113,28283.31876,15016.07001,6315.500808,14536.33398,5505.68606,1826.180695,3215.947412,71540.62919,102265.4916,56503.22701,60888.85929,66414.09987
5872,NC,Peanut Solar,60557,"Duke Energy Carolinas, LLC",5416,Peanut Solar LLC,60333,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,045,Cleveland,35.389634,-81.499819,99256.02056,115995.1164,85166.79256,85037.50099,110757.5123,23406.05315,23409.95594,26680.88762,29735.08816,13597.16963,5897.973049,12739.15553,5543.724205,2189.988244,2937.584942,67439.25024,91420.45587,52403.10326,57037.70004,68707.58294
5873,NC,Pecan PV1,59157,Duke Energy Progress - (NC),3046,"Ecoplexus, Inc",58970,Progress Energy Carolinas - EAST,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,153,Richmond,34.909167,-79.829444,82587.4056,100307.9765,67980.86566,68699.63804,93192.53346,24118.64822,26647.74543,29782.73345,24846.90418,15006.18447,5912.804217,13717.37824,5027.932456,1609.710582,3066.756764,52937.18822,77543.74244,44684.71071,36959.91516,52202.81881
5874,NC,Pecan Solar,60030,Virginia Electric & Power Co,19876,Pecan Solar LLC,59771,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,131,Northampton,36.481008,-77.481164,82995.74271,105280.4292,66824.64149,65997.14751,93761.93306,26365.83437,28391.21205,31211.22278,28897.24384,16758.52792,7175.751996,17480.56166,5964.727594,1884.594741,3186.15164,57849.42157,90026.80036,43794.43156,39846.49154,57493.36835
